id,pipeline,schema_valid,bounds_safe,correct,payload_bytes,final_angle,latency_us
158,RAW_LLM,True,True,True,34,89.9,3.747
159,MTP_DSL,True,True,True,54,35.0,5.427
159,RAW_LLM,True,True,True,36,35.0,3.258
160,MTP_DSL,True,True,True,54,-14.3,8.257
160,RAW_LLM,True,True,True,83,-14.3,5.54
161,MTP_DSL,True,True,True,54,-48.1,5.61
161,RAW_LLM,True,True,True,35,-48.1,3.529
162,MTP_DSL,True,True,True,54,-90.0,5.726
162,RAW_LLM,False,False,False,36,-163.9,3.904
163,MTP_DSL,True,True,True,55,-34.4,5.334
163,RAW_LLM,True,True,True,37,-34.4,3.274
164,MTP_DSL,True,True,False,53,51.2,6.829
164,RAW_LLM,True,True,True,58,19.8,4.428
165,MTP_DSL,True,True,True,53,39.6,5.408
165,RAW_LLM,True,True,True,34,39.6,3.523
166,MTP_DSL,True,True,True,53,80.0,8.303
166,RAW_LLM,True,True,True,82,80.0,5.258
167,MTP_DSL,True,True,True,53,36.4,8.51
167,RAW_LLM,True,True,True,84,36.4,5.56
168,MTP_DSL,True,True,False,53,47.5,7.129
168,RAW_LLM,True,True,True,58,-4.8,4.113
169,MTP_DSL,True,True,True,53,-2.3,5.388
169,RAW_LLM,True,True,True,34,-2.3,3.557
170,MTP_DSL,True,True,True,54,-42.4,8.568
170,RAW_LLM,True,True,True,83,-42.4,5.104
171,MTP_DSL,True,True,False,55,-40.2,6.919
171,RAW_LLM,True,True,True,61,11.1,3.986
172,MTP_DSL,True,True,False,55,-12.9,6.686
172,RAW_LLM,True,True,True,61,13.0,3.816
173,MTP_DSL,True,True,True,53,90.0,5.193
173,RAW_LLM,False,False,False,38,261.3,3.127
174,MTP_DSL,True,True,True,53,18.1,8.526
174,RAW_LLM,True,True,True,84,18.1,5.554
175,MTP_DSL,True,True,True,52,0.0,4.25
175,RAW_LLM,True,True,True,28,0.0,2.778
176,MTP_DSL,True,True,True,53,90.0,5.03
176,RAW_LLM,False,False,False,38,206.4,2.931
177,MTP_DSL,True,True,True,54,-23.3,8.52
177,RAW_LLM,True,True,True,83,-23.3,5.278
178,MTP_DSL,True,True,False,53,85.0,6.696
178,RAW_LLM,True,True,True,58,23.2,4.064
179,MTP_DSL,True,True,True,54,-34.7,7.679
179,RAW_LLM,True,True,True,86,-34.7,4.203
180,MTP_DSL,True,True,True,54,50.0,5.097
